;;;COD. ARTIC.;NOMBRE;;STOCK;;;;LISTA 1;;LISTA 2;;LISTA 3;;LISTA 4;CATEGORIA;;;;;;;;;;;;;
46;;46;148;CARTUCHO ALTER. HP 670XL AMARILLO;;50,000;10,5;348,00;70,00;653,72;60,00;615,26;30,00;499,90;100,00;769,08;CARTUCHO TINTA;;;;1;3,00;0,00;384,54;0,00;384,54;1;0;1;0
47;;47;149;CARTUCHO EPSON 135 NEGRO;;0,0000;10,5;278,18;65,00;507,20;50,00;461,09;30,00;399,61;30,00;399,61;CARTUCHO TINTA;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
48;;48;150;CARTUCHO ALTER. HP 951XL MAGENTA;;20,000;10,5;348,00;70,00;653,72;60,00;615,26;50,00;576,81;30,00;499,90;CARTUCHO TINTA;;;;1;3,00;0,00;384,54;0,00;384,54;1;0;1;0
49;;49;151;CARTUCHO ALTER. HP 950XL NEGRO;;10,000;10,5;348,00;70,00;653,72;60,00;615,26;50,00;576,81;30,00;499,90;CARTUCHO TINTA;;;;1;3,00;0,00;384,54;0,00;384,54;1;0;1;0
50;;50;152;CARTUCHO ALTER. EPSON 206 CYAN;;160,000;10,5;696,00;70,00;1307,44;60,00;1230,53;30,00;999,80;100,00;1538,16;CARTUCHO TINTA;;;;1;6,00;0,00;769,08;0,00;769,08;1;0;1;0
51;;51;153;CARTUCHO ALTER. EPSON 206 MAGENTA;;160,000;10,5;696,00;70,00;1307,44;60,00;1230,53;30,00;999,80;100,00;1538,16;CARTUCHO TINTA;;;;1;6,00;0,00;769,08;0,00;769,08;1;0;1;0
52;;52;154;CARTUCHO EPSON 196 NEGRO;;0,0000;10,5;307,46;65,00;560,58;50,00;509,62;30,00;441,67;30,00;441,67;CARTUCHO TINTA;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
53;;53;155;CARTUCHO ALTER. EPSON 206 AMARILLO;;160,000;10,5;696,00;70,00;1307,44;60,00;1230,53;30,00;999,80;100,00;1538,16;CARTUCHO TINTA;;;;1;6,00;0,00;769,08;0,00;769,08;1;0;1;0
54;;54;156;CARTUCHO EPSON 197 NEGRO;;0,0000;10,5;483,15;65,00;880,90;50,00;800,84;30,00;694,03;30,00;694,03;CARTUCHO TINTA;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
55;;55;157;CARTUCHO EPSON 296 NEGRO;;0,0000;10,5;260,61;65,00;475,16;50,00;431,95;30,00;374,37;30,00;374,37;CARTUCHO TINTA;;;;0;0,00;0,00;0,00;0,00;0,00;1;0;1;0
